Char,Mean_L,Std_L,Mean_Acc,Std_Acc,Mean_V,Std_V,Mean_Ang,Std_Ang
0,38.73707849348012,14.428622350656326,49.409187224545,13.47986310896502,49.408421742289015,12.556837708866556,50.23065551241638,13.29468639226769
1,27.352347671859352,16.370863504063255,48.19118200270134,14.000543496137968,49.89931484749722,12.02709142200381,49.58530903179471,12.827442399488508
2,37.22465817750944,15.071679285551038,49.32482305354499,13.550829850550056,32.4959010729193,16.143286872045636,50.487894881410604,13.425138572160188
3,36.62606708339575,14.808070314772625,49.327560870826495,13.560652545723071,45.8134983031344,13.628279042665516,50.701658624874426,13.483314302923644
4,42.30395100845486,14.805906481018907,48.69294323521118,13.015681425420516,49.60879038329792,12.061310252436197,47.02614332471233,13.07711892207473
5,35.24263682156384,13.081252640196722,49.48953930960639,13.180157499058343,49.49440026540241,12.26897739695282,52.26766521615466,13.850475413738234
6,42.372742224963126,15.624607918546522,49.49947715832292,13.11762354004872,47.617485217574135,12.852329870071902,49.63245359999428,13.069623928877519
7,37.71333409235662,15.90146005638785,48.78238167644658,13.180399879521964,49.46569629894366,11.964918014236225,52.348955370646415,13.095598698548029
8,37.14371774919973,13.496928955860845,49.64145071577087,13.356939062412632,44.71360322063427,13.547924938927178,50.33944660545809,13.073969101363716
9,40.13805064923492,16.153331032179377,49.285162836326016,13.588029100204585,48.89586525175,12.062307889665648,48.4881494625654,13.449432247852894
Folder End,-,-,-,-,-,-,-,-
0,36.75118160294347,14.001977251924519,49.01933098315517,13.466671719355976,49.59554883533188,12.426775189160383,50.0325773769402,13.875435123543939
1,27.621610114303994,15.558613975628496,48.210252096897975,13.374296477918897,49.503169226700194,12.23151784998455,49.115177081433444,12.758403952278643
2,34.06748500658128,13.773993053255092,48.98245310614508,13.047858969500414,48.997205981763145,12.411542740815042,51.54159469031119,13.275012829879413
3,38.53619299194191,14.736263707966131,48.93986269485412,13.272485197794593,49.69904280184024,12.378214924890171,50.93337338126175,13.32013688858797
4,38.073183673718766,15.10614678070898,48.82512741663394,13.323249961677249,49.925034511038525,12.289052176921366,45.96449295074299,12.381187821076589
5,33.78834677514204,13.614163645791292,49.26955735877505,13.498494457740414,49.73552847325657,12.293187591485419,52.610560323534855,13.700957230781212
6,41.554604991136785,15.134349454555364,48.8738555884657,13.511817832037327,48.87165385279217,12.572835656055846,49.30811820344907,13.200353664063144
7,41.7150180192998,13.917699092931182,49.04296907501882,13.141529061412621,49.666602715250626,12.17235123407392,53.13326009225175,12.346959904454716
8,41.233567347510274,14.465617975517521,49.119498961485625,13.184216010668282,49.433008209587335,12.500975557504264,50.314449969724876,13.568921868434808
9,40.03950633201043,14.664127687499377,48.88065489475964,13.321492108991295,49.79858343029124,12.27221128387168,47.60868473901087,13.391584513623165
Folder End,-,-,-,-,-,-,-,-
0,44.17822719092811,13.009258089318072,48.9682253273379,13.477688032862748,39.55233326391484,14.846021597528724,49.765609142410575,13.94912396208502
1,27.979305552283105,14.853040514474543,48.24367520529817,13.345260717374414,35.221761391392604,15.744921853752043,49.1269167536063,12.930393470194442
2,39.208093085781684,12.554285958911704,48.90880906744749,13.076486178980904,29.29415103905184,17.301620536524666,51.6727987245612,13.335631375352563
3,43.51425429526757,13.214711692503059,48.907302192939724,13.289967779176683,32.85770624133776,16.486034569942348,51.111336012139674,13.353662679751766
4,37.39311524555628,15.317826472877341,48.79921385775337,13.361077675840887,43.01769004429879,13.988028076834109,46.16757442032173,12.6148002330134
5,33.77820206556557,13.204720752532843,49.21600636884971,13.576520282485358,38.79824314911761,14.960239051934085,52.67485878255603,13.71079716323361
6,48.8303018153245,14.083215319422575,48.844826657758446,13.50775000730906,38.71554133247418,15.007213697255935,49.20682492390748,13.240544539332074
7,42.04961611858789,14.305984457430611,49.04044013197398,13.25134397114165,37.551791371225114,15.244370328318832,53.08421961386376,12.436904821482687
8,43.41940950636634,14.545715824430902,49.07066617294699,13.214878391896598,33.89895228943389,16.323036386325516,50.24558934526848,13.585041036475815
9,46.23683938627702,13.765528652761688,48.860176327508086,13.360323927594232,31.785579956682344,16.64596506302804,47.49262412774018,13.389196143033944
Folder End,-,-,-,-,-,-,-,-
